,pcc
ITGB4,0.9620030433612325
PDGFRA,0.9619171308074672
SNAI2,0.9523883757737154
CD34,0.9510826741520487
PECAM1,0.9504432267266584
PRKAA1,0.9369747026041524
CD44,0.9321684657188086
VIM,0.8742731523881603
FAP,0.8639626451608352
POU2F1,0.7758978064311775
SNAIL,0.6721792371781775
Smad2,0.5399908611509514
Nanog,0.5251831170377569
RUNX1,0.3411200393312696
ERBB2,0.3300160304029894
CD24,0.16818213611814153
EGFR,-0.1172409243741077
CASP3,-0.1533993731638046
H3C14,-0.20001983826303543
PDGFRB,-0.5230898114598973
NFkB1,-0.6806504716589361
Rb1,-0.6833463181663781
IdU,-0.7070040835127392
CD274,-0.7636248416488493
TGFÎ²,-0.7965506134411694
Twist,-0.8065095246436318
CD45,-0.8332179623353633
Src,-0.8380067656085104
Axl,-0.8513112804221507
TROP2,-0.9150656744396768
RPS6KB1,-0.9293706495951852
KRT8,-0.9570695252642812
Notch3,-0.9633714780540596
KRT7,-0.9634512486960662
CD117,-0.9663356878309747
MUC1,-0.9698697259372279
CDH1,-0.969880910572731
CTNNB1,-0.9708675411795
